target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2321.78	0	0
AT1G18320.1	699	511.782	5.72699	2.59346
AT5G11100.1	1709	1521.78	40	6.0918
AT4G35335.1	1280	1092.78	67	14.2095
AT1G60930.1	3876	3688.78	16	1.00525
AT1G17000.1	2351	2163.78	0	0
AT3G55270.1	3130	2942.78	166	13.0734
AT4G16150.1	3181	2993.78	358	27.7141
AT3G18150.1	1370	1182.78	0	0
AT3G52310.1	2443	2255.78	22	2.26029
AT3G08943.1	3165	2977.78	73.0742	5.68735
AT4G15950.1	814	626.782	38	14.0509
AT5G60900.1	2873	2685.78	0	0
AT5G18710.1	1919	1731.78	0	0
AT1G64460.1	2240	2052.78	56	6.32242
AT2G31100.1	1247	1059.78	0	0
AT1G60260.1	1634	1446.78	104	16.6598
AT2G06210.1	3579	3391.78	144	9.8395
AT3G57180.1	2232	2044.78	47	5.32708
ATMG01320.1	922	734.782	8.31797	2.6236
AT4G15130.1	1234	1046.78	39	8.63469
AT5G39100.1	808	620.782	0	0
AT4G16110.1	2666	2478.78	133	12.4352
AT5G26800.1	637	449.831	65	33.489
AT4G16360.1	1685	1497.78	107	16.5567
ATMG00060.1	542	354.988	6	3.91721
AT1G76820.1	3857	3669.78	76.1746	4.8107
AT3G05780.1	2775	2587.78	0	0
AT1G24405.1	718	530.782	2	0.873277
AT2G27490.4	843	655.782	53.8116	19.0175
AT2G27490.1	1367	1179.78	0	0
AT2G27490.3	1201	1013.78	0	0
AT2G27490.2	1381	1193.78	15.1884	2.94867
AT3G13276.1	269	97.1583	2	4.77077
AT1G71740.1	393	208.488	5	5.55812
AT1G52920.1	1351	1163.78	6	1.19486
AT2G17370.1	2273	2085.78	31	3.44454
AT4G13615.1	813	625.782	276	102.217
AT3G46680.1	1350	1162.78	1	0.199315
AT1G70830.3	996	808.782	0	0
AT1G70830.2	1329	1141.78	0	0
AT1G70830.5	787	599.782	0	0
AT1G70830.4	1393	1205.78	0	0
AT1G70830.1	1331	1143.78	367	74.3637
AT2G34090.3	1458	1270.78	0	0
AT2G34090.2	1616	1428.78	0	0
AT2G34090.1	1700	1512.78	66	10.1113
AT2G34090.4	1521	1333.78	0	0
AT2G34090.5	1425	1237.78	0	0
AT1G65541.1	340	158.378	0	0
AT2G01050.1	1548	1360.78	0	0
AT2G07751.1	357	174.279	5	6.6491
AT4G20565.1	789	601.782	0	0
AT1G61566.1	551	363.951	0	0
AT4G29530.2	1148	960.782	0.395786	0.0954716
AT4G29530.1	1144	956.782	28.6042	6.92876
AT5G09225.1	780	592.782	132	51.608
AT1G21100.1	1545	1357.78	31.4393	5.36639
AT1G73150.1	2150	1962.78	20.2347	2.38926
AT1G73150.2	1956	1768.78	1.76531	0.231306
AT3G51750.3	654	466.831	8.88214	4.40957
AT3G51750.1	563	375.951	52.8115	32.5563
AT3G51750.2	560	372.951	2.30634	1.43321
AT1G07010.1	1622	1434.78	43.4783	7.02303
AT1G07010.2	1556	1368.78	21.5217	3.64403
AT1G07010.3	1542	1354.78	0	0
AT1G32080.1	2009	1821.78	72	9.15956
AT1G16710.5	6346	6158.78	0	0
AT1G16710.7	5822	5634.78	60.4481	2.48625
AT1G16710.1	6018	5830.78	18.983	0.754528
AT1G16710.4	6502	6314.78	0	0
AT1G16710.8	6455	6267.78	0	0
AT1G16710.10	6023	5835.78	0	0
AT1G16710.6	6107	5919.78	0	0
AT1G16710.3	6619	6431.78	0	0
AT1G16710.9	6549	6361.78	11.7464	0.427921
AT1G16710.2	5783	5595.78	2.82257	0.116902
AT1G07590.1	2407	2219.78	4670.73	487.656
AT5G49170.1	1172	984.782	18	4.23614
AT2G40240.1	1614	1426.78	3	0.487306
AT4G30380.2	537	350.023	0	0
AT4G30380.1	486	299.371	0	0
AT2G20619.1	201	48.6539	0	0
AT3G05830.2	1420	1232.78	0	0
AT3G05830.1	1358	1170.78	44	8.70994
AT3G05830.3	1524	1336.78	0	0
AT5G11430.6	3634	3446.78	7.11608	0.478482
AT5G11430.2	2601	2413.78	4.90433	0.470891
AT5G11430.4	2791	2603.78	0.0275533	0.00245249
AT5G11430.3	3322	3134.78	36.1628	2.67358
AT5G11430.5	2373	2185.78	0	0
AT5G11430.1	3147	2959.78	22.7892	1.78447
AT1G20530.1	2269	2081.78	12	1.33593
AT4G23170.1	1824	1636.78	38	5.38061
AT1G44780.2	1644	1456.78	26	4.13635
AT1G44780.1	1647	1459.78	0	0
AT1G60880.1	606	418.873	0	0
AT1G06160.1	1086	898.782	4	1.03144
AT3G07260.1	1204	1016.78	2.15814	0.491914
AT1G21090.1	1404	1216.78	48	9.14254
AT1G21090.2	1416	1228.78	0	0
AT1G76730.1	1500	1312.78	235	41.4872
AT1G03970.1	1190	1002.78	116	26.8096
AT5G19160.1	2182	1994.78	6	0.697099
AT5G19160.2	2242	2054.78	0	0
AT3G49744.1	174	33.2495	0	0
AT5G28820.1	519	332.092	0	0
AT4G12530.1	730	542.782	0	0
AT4G20050.1	1924	1736.78	0	0
AT4G20050.5	1742	1554.78	0	0
AT4G20050.3	1800	1612.78	0	0
AT4G20050.2	1873	1685.78	7	0.962354
AT4G20050.6	1732	1544.78	0	0
AT4G20050.7	1707	1519.78	0	0
AT4G20050.4	1981	1793.78	0	0
AT5G53810.1	1574	1386.78	4	0.668483
AT2G28690.1	1117	929.782	1	0.249263
AT5G01530.1	1396	1208.78	14283	2738.48
AT3G62800.3	1283	1095.78	8.24287	1.74338
AT3G62800.1	1368	1180.78	22.969	4.50828
AT3G62800.2	1297	1109.78	82.7881	17.289
ATCG00900.1	468	281.573	530.5	436.649
AT3G11385.1	2459	2271.78	2	0.204034
AT5G07010.1	1779	1591.78	360	52.4152
AT3G63040.1	654	466.831	0	0
AT2G26570.2	2921	2733.78	14.4686	1.22659
AT2G26570.1	2941	2753.78	334.531	28.1544
AT3G05560.2	756	568.782	0	0
AT3G05560.3	841	653.782	0	0
AT3G05560.1	840	652.782	281	99.7646
AT5G12080.3	2694	2506.78	32	2.9585
AT5G12080.2	2805	2617.78	0	0
AT5G12080.1	2754	2566.78	0	0
AT1G50870.1	1191	1003.78	0	0
AT2G20610.2	1748	1560.78	5.27854	0.783808
AT2G20610.1	1794	1606.78	225.721	32.5577
AT5G02940.2	2792	2604.78	11.9918	1.06697
AT5G02940.1	2920	2732.78	413.008	35.0261
AT1G68430.1	945	757.782	2	0.61168
AT1G66550.2	856	668.782	0	0
AT1G66550.1	765	577.782	0	0
AT1G09380.1	1641	1453.78	6	0.956512
AT3G48840.1	757	569.782	0	0
AT3G48840.2	667	479.831	0	0
AT5G61800.1	1629	1441.78	8	1.28596
AT5G01445.1	589	401.873	4	2.3068
AT4G35500.1	1975	1787.78	15.915	2.06315
AT4G35500.2	1638	1450.78	31.085	4.96578
AT1G80310.1	1937	1749.78	279	36.9538
AT2G39400.2	1307	1119.78	18.9379	3.91955
AT2G39400.1	1394	1206.78	146.062	28.0509
AT4G04990.1	1217	1029.78	5	1.12529
AT3G60530.1	1465	1277.78	537	97.3993
AT2G46180.1	2540	2352.78	111	10.934
AT2G22270.1	1398	1210.78	27.0264	5.17321
AT2G22270.2	1174	986.782	28.9736	6.80487
AT2G43660.1	471	284.488	0	0
AT2G43660.2	597	409.873	0	0
AT1G03910.2	2466	2278.78	89.892	9.14232
AT1G03910.1	2565	2377.78	144.108	14.0461
AT1G77590.1	2692	2504.78	220.993	20.4478
AT1G77590.2	2669	2481.78	0.00683407	0.000638196
AT1G79020.1	2134	1946.78	64	7.61905
