target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2321.15	0	0
AT1G18320.1	699	511.209	3.67734	1.86025
AT5G11100.1	1709	1521.15	32	5.44019
AT4G35335.1	1280	1092.15	39	9.2346
AT1G60930.1	3876	3688.15	17	1.192
AT1G17000.1	2351	2163.15	0	0
AT3G55270.1	3130	2942.15	162	14.2392
AT4G16150.1	3181	2993.15	290	25.0557
AT3G18150.1	1370	1182.15	0	0
AT3G52310.1	2443	2255.15	7	0.80271
AT3G08943.1	3165	2977.15	108.299	9.40716
AT4G15950.1	814	626.153	49	20.2373
AT5G60900.1	2873	2685.15	1	0.0963092
AT5G18710.1	1919	1731.15	0	0
AT1G64460.1	2240	2052.15	60	7.56099
AT2G31100.1	1247	1059.15	0	0
AT1G60260.1	1634	1446.15	60	10.7294
AT2G06210.1	3579	3391.15	144	10.9813
AT3G57180.1	2232	2044.15	53	6.70501
ATMG01320.1	922	734.153	6.38986	2.25082
AT4G15130.1	1234	1046.15	33	8.15747
AT5G39100.1	808	620.153	0	0
AT4G16110.1	2666	2478.15	67	6.99171
AT5G26800.1	637	449.209	73	42.0253
AT4G16360.1	1685	1497.15	120	20.7277
ATMG00060.1	542	354.448	7	5.1072
AT1G76820.1	3857	3669.15	51.6817	3.64257
AT3G05780.1	2775	2587.15	0	0
AT1G24405.1	718	530.209	2	0.975483
AT2G27490.4	843	655.153	27.6196	10.9021
AT2G27490.1	1367	1179.15	0	0
AT2G27490.3	1201	1013.15	0	0
AT2G27490.2	1381	1193.15	20.3804	4.41727
AT3G13276.1	269	98.6663	2	5.24201
AT1G71740.1	393	208.645	6	7.43669
AT1G52920.1	1351	1163.15	4	0.889324
AT2G17370.1	2273	2085.15	32	3.96871
AT4G13615.1	813	625.153	260	107.553
AT3G46680.1	1350	1162.15	2	0.445045
AT1G70830.3	996	808.153	0	0
AT1G70830.2	1329	1141.15	0	0
AT1G70830.5	787	599.153	0	0
AT1G70830.4	1393	1205.15	0	0
AT1G70830.1	1331	1143.15	153	34.6118
AT2G34090.3	1458	1270.15	0	0
AT2G34090.2	1616	1428.15	0	0
AT2G34090.1	1700	1512.15	51.3921	8.78896
AT2G34090.4	1521	1333.15	0	0
AT2G34090.5	1425	1237.15	3.6079	0.754169
AT1G65541.1	340	159.139	0.999956	1.62496
AT2G01050.1	1548	1360.15	0	0
AT2G07751.1	357	174.638	3	4.44241
AT4G20565.1	789	601.153	0	0
AT1G61566.1	551	363.448	0	0
AT4G29530.2	1148	960.153	0.183262	0.0493593
AT4G29530.1	1144	956.153	11.8167	3.196
AT5G09225.1	780	592.153	111	48.4759
AT1G21100.1	1545	1357.15	85.3338	16.2603
AT1G73150.1	2150	1962.15	10.1142	1.33302
AT1G73150.2	1956	1768.15	4.88581	0.714585
AT3G51750.3	654	466.209	5.13458	2.84814
AT3G51750.1	563	375.411	5.86542	4.04044
AT3G51750.2	560	372.411	0	0
AT1G07010.1	1622	1434.15	0	0
AT1G07010.2	1556	1368.15	50.9987	9.63965
AT1G07010.3	1542	1354.15	0.00133741	0.000255407
AT1G32080.1	2009	1821.15	200	28.4001
AT1G16710.5	6346	6158.15	0	0
AT1G16710.7	5822	5634.15	39.2543	1.80176
AT1G16710.1	6018	5830.15	29.7457	1.31941
AT1G16710.4	6502	6314.15	0	0
AT1G16710.8	6455	6267.15	0	0
AT1G16710.10	6023	5835.15	0	0
AT1G16710.6	6107	5919.15	8.07177e-06	3.52652e-07
AT1G16710.3	6619	6431.15	0	0
AT1G16710.9	6549	6361.15	0	0
AT1G16710.2	5783	5595.15	0	0
AT1G07590.1	2407	2219.15	3305.76	385.231
AT5G49170.1	1172	984.153	14	3.67877
AT2G40240.1	1614	1426.15	6	1.08798
AT4G30380.2	537	349.483	0	0
AT4G30380.1	486	298.792	0	0
AT2G20619.1	201	49.7202	0	0
AT3G05830.2	1420	1232.15	0	0
AT3G05830.1	1358	1170.15	23	5.08302
AT3G05830.3	1524	1336.15	0	0
AT5G11430.6	3634	3446.15	0	0
AT5G11430.2	2601	2413.15	16.7023	1.7899
AT5G11430.4	2791	2603.15	0	0
AT5G11430.3	3322	3134.15	0	0
AT5G11430.5	2373	2185.15	0	0
AT5G11430.1	3147	2959.15	42.2977	3.69646
AT1G20530.1	2269	2081.15	5	0.621302
AT4G23170.1	1824	1636.15	30	4.7417
AT1G44780.2	1644	1456.15	37	6.571
AT1G44780.1	1647	1459.15	0	0
AT1G60880.1	606	418.254	0	0
AT1G06160.1	1086	898.153	34	9.78961
AT3G07260.1	1204	1016.15	0	0
AT1G21090.1	1404	1216.15	39	8.29303
AT1G21090.2	1416	1228.15	0	0
AT1G76730.1	1500	1312.15	194	38.2344
AT1G03970.1	1190	1002.15	119	30.7079
AT5G19160.1	2182	1994.15	7	0.907771
AT5G19160.2	2242	2054.15	0	0
AT3G49744.1	174	34.1998	0	0
AT5G28820.1	519	331.483	0	0
AT4G12530.1	730	542.209	0	0
AT4G20050.1	1924	1736.15	0	0
AT4G20050.5	1742	1554.15	0	0
AT4G20050.3	1800	1612.15	0	0
AT4G20050.2	1873	1685.15	7	1.07423
AT4G20050.6	1732	1544.15	0	0
AT4G20050.7	1707	1519.15	0	0
AT4G20050.4	1981	1793.15	0	0
AT5G53810.1	1574	1386.15	3	0.559689
AT2G28690.1	1117	929.153	16	4.45317
AT5G01530.1	1396	1208.15	10944	2342.56
AT3G62800.3	1283	1095.15	0	0
AT3G62800.1	1368	1180.15	23.1535	5.07358
AT3G62800.2	1297	1109.15	35.8465	8.35781
ATCG00900.1	468	281.196	414.5	381.199
AT3G11385.1	2459	2271.15	1	0.113865
AT5G07010.1	1779	1591.15	109	17.7154
AT3G63040.1	654	466.209	0	0
AT2G26570.2	2921	2733.15	0.000997247	9.43573e-05
AT2G26570.1	2941	2753.15	164.999	15.4984
AT3G05560.2	756	568.153	0	0
AT3G05560.3	841	653.153	9.24086	3.65876
AT3G05560.1	840	652.153	357.759	141.866
AT5G12080.3	2694	2506.15	40	4.12752
AT5G12080.2	2805	2617.15	0	0
AT5G12080.1	2754	2566.15	0	0
AT1G50870.1	1191	1003.15	0	0
AT2G20610.2	1748	1560.15	35.7406	5.92422
AT2G20610.1	1794	1606.15	176.259	28.3793
AT5G02940.2	2792	2604.15	4.27252	0.424282
AT5G02940.1	2920	2732.15	103.727	9.81806
AT1G68430.1	945	757.153	5	1.70775
AT1G66550.2	856	668.153	0	0
AT1G66550.1	765	577.153	0	0
AT1G09380.1	1641	1453.15	1	0.177961
AT3G48840.1	757	569.153	0	0
AT3G48840.2	667	479.209	0	0
AT5G61800.1	1629	1441.15	6	1.07666
AT5G01445.1	589	401.294	9	5.79985
AT4G35500.1	1975	1787.15	0	0
AT4G35500.2	1638	1450.15	26	4.63657
AT1G80310.1	1937	1749.15	131	19.3678
AT2G39400.2	1307	1119.15	50.8494	11.7499
AT2G39400.1	1394	1206.15	159.151	34.1227
AT4G04990.1	1217	1029.15	6	1.50768
AT3G60530.1	1465	1277.15	334	67.6302
AT2G46180.1	2540	2352.15	68	7.47619
AT2G22270.1	1398	1210.15	5.40247	1.15449
AT2G22270.2	1174	986.153	40.5975	10.6461
AT2G43660.1	471	284.14	1	0.910133
AT2G43660.2	597	409.254	0	0
AT1G03910.2	2466	2278.15	0.00178636	0.000202779
AT1G03910.1	2565	2377.15	176.998	19.2552
AT1G77590.1	2692	2504.15	132	13.6317
AT1G77590.2	2669	2481.15	2.48975e-08	2.59501e-09
AT1G79020.1	2134	1946.15	61	8.10569
AT5G24420.1	1321	1133.15	9	2.05395
AT5G39490.1	1701	1513.15	0	0
AT3G26922.2	1894	1706.15	0	0
AT3G26922.1	1793	1605.15	0	0
AT3G26922.4	1661	1473.15	2.36332e-05	4.1487e-06
AT3G26922.5	1642	1454.15	9.99998	1.77839
AT3G26922.3	1711	1523.15	0	0
AT3G50450.1	926	738.153	2	0.700681
AT3G17160.1	882	694.153	146	54.392
AT1G34315.1	819	631.153	26	10.6531
AT5G08580.2	1818	1630.15	3.91531	0.621119
AT5G08580.1	1736	1548.15	74.0847	12.3752
AT2G28360.1	3032	2844.15	86	7.81956
AT4G25000.1	1606	1418.15	6	1.09412
AT5G27410.4	1734	1546.15	103.254	17.27
AT5G27410.1	2156	1968.15	25.672	3.37317
AT5G27410.3	2229	2041.15	6.07351	0.769487
AT5G27410.2	3153	2965.15	0	0
AT5G65200.1	1982	1794.15	27	3.89172
AT5G23535.1	1015	827.153	86	26.8874
AT5G23535.2	830	642.153	0	0
AT1G05230.1	3520	3332.15	0	0
AT1G05230.5	3644	3456.15	0	0
AT1G05230.12	2134	1946.15	0	0
