target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2322.08	0	0
AT1G18320.1	699	512.083	5.25883	2.01844
AT5G11100.1	1709	1522.08	30	3.87391
AT4G35335.1	1280	1093.08	72	12.9463
AT1G60930.1	3876	3689.08	12	0.639336
AT1G17000.1	2351	2164.08	0	0
AT3G55270.1	3130	2943.08	196	13.0894
AT4G16150.1	3181	2994.08	352	23.1071
AT3G18150.1	1370	1183.08	0	0
AT3G52310.1	2443	2256.08	4	0.348475
AT3G08943.1	3165	2978.08	129.294	8.53313
AT4G15950.1	814	627.083	40	12.5372
AT5G60900.1	2873	2686.08	1	0.0731723
AT5G18710.1	1919	1732.08	0	0
AT1G64460.1	2240	2053.08	66	6.31835
AT2G31100.1	1247	1060.08	0	0
AT1G60260.1	1634	1447.08	59	8.01355
AT2G06210.1	3579	3392.08	185	10.7194
AT3G57180.1	2232	2045.08	64	6.15085
ATMG01320.1	922	735.083	10.4341	2.78989
AT4G15130.1	1234	1047.08	47	8.82233
AT5G39100.1	808	621.083	1	0.316458
AT4G16110.1	2666	2479.08	94	7.45252
AT5G26800.1	637	450.132	89	38.8612
AT4G16360.1	1685	1498.08	151	19.811
ATMG00060.1	542	355.28	12	6.6386
AT1G76820.1	3857	3670.08	41.4201	2.2182
AT3G05780.1	2775	2588.08	0	0
AT1G24405.1	718	531.083	4	1.48035
AT2G27490.4	843	656.083	41.9838	12.5774
AT2G27490.1	1367	1180.08	3.06438	0.510384
AT2G27490.3	1201	1014.08	0	0
AT2G27490.2	1381	1194.08	17.9518	2.95488
AT3G13276.1	269	97.1503	2	4.04625
AT1G71740.1	393	208.544	8	7.53976
AT1G52920.1	1351	1164.08	4	0.675371
AT2G17370.1	2273	2086.08	51	4.80513
AT4G13615.1	813	626.083	341	107.051
AT3G46680.1	1350	1163.08	0	0
AT1G70830.3	996	809.083	0	0
AT1G70830.2	1329	1142.08	0	0
AT1G70830.5	787	600.083	0	0
AT1G70830.4	1393	1206.08	0	0
AT1G70830.1	1331	1144.08	239	41.0588
AT2G34090.3	1458	1271.08	0	0
AT2G34090.2	1616	1429.08	0	0
AT2G34090.1	1700	1513.08	61.3314	7.96685
AT2G34090.4	1521	1334.08	0	0
AT2G34090.5	1425	1238.08	5.66857	0.899891
AT1G65541.1	340	159.142	0	0
AT2G01050.1	1548	1361.08	0	0
AT2G07751.1	357	174.636	5	5.62735
AT4G20565.1	789	602.083	0	0
AT1G61566.1	551	364.208	0	0
AT4G29530.2	1148	961.083	6.56254	1.34208
AT4G29530.1	1144	957.083	13.4375	2.75952
AT5G09225.1	780	593.083	120	39.7678
AT1G21100.1	1545	1358.08	80.1177	11.5949
AT1G73150.1	2150	1963.08	32	3.20389
AT1G73150.2	1956	1769.08	0	0
AT3G51750.3	654	467.132	0	0
AT3G51750.1	563	376.208	3	1.56733
AT3G51750.2	560	373.208	0	0
AT1G07010.1	1622	1435.08	43.5176	5.96011
AT1G07010.2	1556	1369.08	27.3213	3.92227
AT1G07010.3	1542	1355.08	0.16111	0.0233681
AT1G32080.1	2009	1822.08	174	18.7693
AT1G16710.5	6346	6159.08	0	0
AT1G16710.7	5822	5635.08	11.9621	0.417226
AT1G16710.1	6018	5831.08	89.0379	3.00118
AT1G16710.4	6502	6315.08	0	0
AT1G16710.8	6455	6268.08	0	0
AT1G16710.10	6023	5836.08	0	0
AT1G16710.6	6107	5920.08	2.11326e-05	7.01603e-07
AT1G16710.3	6619	6432.08	0	0
AT1G16710.9	6549	6362.08	0	0
AT1G16710.2	5783	5596.08	0	0
AT1G07590.1	2407	2220.08	3463.76	306.651
AT5G49170.1	1172	985.083	28	5.58665
AT2G40240.1	1614	1427.08	12	1.65272
AT4G30380.2	537	350.28	0	0
AT4G30380.1	486	299.409	1	0.656449
AT2G20619.1	201	47.4426	0	0
AT3G05830.2	1420	1233.08	0	0
AT3G05830.1	1358	1171.08	33	5.53851
AT3G05830.3	1524	1337.08	0	0
AT5G11430.6	3634	3447.08	0	0
AT5G11430.2	2601	2414.08	9.52321	0.77535
AT5G11430.4	2791	2604.08	0.00636421	0.000480348
AT5G11430.3	3322	3135.08	17.906	1.12257
AT5G11430.5	2373	2186.08	2.92327e-05	2.62826e-06
AT5G11430.1	3147	2960.08	64.5644	4.28702
AT1G20530.1	2269	2082.08	4	0.377597
AT4G23170.1	1824	1637.08	40	4.80237
AT1G44780.2	1644	1457.08	13.5608	1.82922
AT1G44780.1	1647	1460.08	26.4392	3.55908
AT1G60880.1	606	419.132	0	0
AT1G06160.1	1086	899.083	45	9.83737
AT3G07260.1	1204	1017.08	3.28966	0.635714
AT1G21090.1	1404	1217.08	55.6459	8.98626
AT1G21090.2	1416	1229.08	12.3541	1.97559
AT1G76730.1	1500	1313.08	258	38.6184
AT1G03970.1	1190	1003.08	130	25.4726
AT5G19160.1	2182	1995.08	15	1.47774
AT5G19160.2	2242	2055.08	0	0
AT3G49744.1	174	31.9877	0	0
AT5G28820.1	519	332.315	0	0
AT4G12530.1	730	543.083	0	0
AT4G20050.1	1924	1737.08	0	0
AT4G20050.5	1742	1555.08	0	0
AT4G20050.3	1800	1613.08	4.78072	0.582509
AT4G20050.2	1873	1686.08	0	0
AT4G20050.6	1732	1545.08	4.56707e-07	5.80968e-08
AT4G20050.7	1707	1520.08	6.21928	0.804154
AT4G20050.4	1981	1794.08	0	0
AT5G53810.1	1574	1387.08	3	0.425094
AT2G28690.1	1117	930.083	24	5.07173
AT5G01530.1	1396	1209.08	17372	2823.97
AT3G62800.3	1283	1096.08	11.5151	2.06486
AT3G62800.1	1368	1181.08	16.9192	2.81556
AT3G62800.2	1297	1110.08	44.5658	7.89064
ATCG00900.1	468	281.583	466	325.272
AT3G11385.1	2459	2272.08	3	0.259516
AT5G07010.1	1779	1592.08	191	23.5795
AT3G63040.1	654	467.132	0	0
AT2G26570.2	2921	2734.08	5.72969	0.411895
AT2G26570.1	2941	2754.08	211.27	15.0774
AT3G05560.2	756	569.083	0	0
AT3G05560.3	841	654.083	5.1614	1.55096
AT3G05560.1	840	653.083	529.839	159.456
AT5G12080.3	2694	2507.08	69	5.40937
AT5G12080.2	2805	2618.08	0	0
AT5G12080.1	2754	2567.08	0	0
AT1G50870.1	1191	1004.08	0	0
AT2G20610.2	1748	1561.08	20.4147	2.5703
AT2G20610.1	1794	1607.08	266.585	32.6035
AT5G02940.2	2792	2605.08	34.1058	2.5732
AT5G02940.1	2920	2733.08	97.8942	7.03996
AT1G68430.1	945	758.083	7	1.81488
AT1G66550.2	856	669.083	0	0
AT1G66550.1	765	578.083	0	0
AT1G09380.1	1641	1454.08	2	0.270338
AT3G48840.1	757	570.083	0	0
AT3G48840.2	667	480.132	0	0
AT5G61800.1	1629	1442.08	6	0.817763
AT5G01445.1	589	402.132	11	5.37639
AT4G35500.1	1975	1788.08	10.6118	1.16645
AT4G35500.2	1638	1451.08	17.3882	2.35521
AT1G80310.1	1937	1750.08	180.441	20.2648
AT2G39400.2	1307	1120.08	5.85406	1.02724
AT2G39400.1	1394	1207.08	182.146	29.6585
AT4G04990.1	1217	1030.08	22	4.19775
AT3G60530.1	1465	1278.08	603	92.7309
AT2G46180.1	2540	2353.08	95	7.93511
AT2G22270.1	1398	1211.08	21.6265	3.50977
AT2G22270.2	1174	987.083	33.3735	6.6453
AT2G43660.1	471	284.583	0	0
AT2G43660.2	597	410.132	7	3.3546
AT1G03910.2	2466	2279.08	1.8378e-06	1.58491e-07
AT1G03910.1	2565	2378.08	208	17.1911
AT1G77590.1	2692	2505.08	150.466	11.8054
AT1G77590.2	2669	2482.08	26.5344	2.10116
AT1G79020.1	2134	1947.08	84	8.47932
AT5G24420.1	1321	1134.08	10	1.73309
AT5G39490.1	1701	1514.08	0	0
AT3G26922.2	1894	1707.08	0	0
AT3G26922.1	1793	1606.08	0	0
AT3G26922.4	1661	1474.08	11	1.46669
AT3G26922.5	1642	1455.08	0	0
AT3G26922.3	1711	1524.08	0	0
AT3G50450.1	926	739.083	4	1.06373
AT3G17160.1	882	695.083	204	57.6846
AT1G34315.1	819	632.083	21	6.52997
AT5G08580.2	1818	1631.08	11.0953	1.33699
AT5G08580.1	1736	1549.08	116.905	14.8328
AT2G28360.1	3032	2845.08	116	8.01363
AT4G25000.1	1606	1419.08	3	0.415508
AT5G27410.4	1734	1547.08	85.3284	10.8404
AT5G27410.1	2156	1969.08	34.8238	3.47599
AT5G27410.3	2229	2042.08	5.84781	0.562842
AT5G27410.2	3153	2966.08	0	0
AT5G65200.1	1982	1795.08	24	2.6278
AT5G23535.1	1015	828.083	110.907	26.3241
AT5G23535.2	830	643.083	0.092525	0.0282786
