target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2322.83	0	0
AT1G18320.1	699	512.831	7.79464	1.7014
AT5G11100.1	1709	1522.83	47	3.45487
AT4G35335.1	1280	1093.83	117	11.9735
AT1G60930.1	3876	3689.83	34	1.03147
AT1G17000.1	2351	2164.83	0	0
AT3G55270.1	3130	2943.83	296	11.2555
AT4G16150.1	3181	2994.83	717	26.7998
AT3G18150.1	1370	1183.83	0	0
AT3G52310.1	2443	2256.83	78	3.86884
AT3G08943.1	3165	2978.83	138.811	5.21632
AT4G15950.1	814	627.831	83	14.7986
AT5G60900.1	2873	2686.83	3	0.124987
AT5G18710.1	1919	1732.83	1	0.0645995
AT1G64460.1	2240	2053.83	113	6.15884
AT2G31100.1	1247	1060.83	2	0.211042
AT1G60260.1	1634	1447.83	176	13.6075
AT2G06210.1	3579	3392.83	271	8.94113
AT3G57180.1	2232	2045.83	77	4.21314
ATMG01320.1	922	735.831	12.3784	1.88309
AT4G15130.1	1234	1047.83	85	9.08056
AT5G39100.1	808	621.831	1	0.180017
AT4G16110.1	2666	2479.83	214	9.65999
AT5G26800.1	637	450.831	147	36.4996
AT4G16360.1	1685	1498.83	238	17.775
ATMG00060.1	542	355.985	4	1.25781
AT1G76820.1	3857	3670.83	128.302	3.9125
AT3G05780.1	2775	2588.83	0	0
AT1G24405.1	718	531.831	4	0.841921
AT2G27490.4	843	656.831	67.3453	11.4773
AT2G27490.1	1367	1180.83	19.2418	1.82408
AT2G27490.3	1201	1014.83	0	0
AT2G27490.2	1381	1194.83	48.4129	4.53565
AT3G13276.1	269	97.5712	4	4.58906
AT1G71740.1	393	209.235	6	3.20997
AT1G52920.1	1351	1164.83	7	0.672698
AT2G17370.1	2273	2086.83	76	4.07673
AT4G13615.1	813	626.831	586	104.648
AT3G46680.1	1350	1163.83	2	0.192365
AT1G70830.3	996	809.831	0	0
AT1G70830.2	1329	1142.83	0	0
AT1G70830.5	787	600.831	0	0
AT1G70830.4	1393	1206.83	0	0
AT1G70830.1	1331	1144.83	441	43.1204
AT2G34090.3	1458	1271.83	0	0
AT2G34090.2	1616	1429.83	5.47491	0.428625
AT2G34090.1	1700	1513.83	156.547	11.5758
AT2G34090.4	1521	1334.83	0.00447762	0.000375497
AT2G34090.5	1425	1238.83	3.9736	0.359051
AT1G65541.1	340	159.347	0	0
AT2G01050.1	1548	1361.83	0	0
AT2G07751.1	357	175.156	2	1.27817
AT4G20565.1	789	602.831	0	0
AT1G61566.1	551	364.949	0	0
AT4G29530.2	1148	961.831	0	0
AT4G29530.1	1144	957.831	35	4.09039
AT5G09225.1	780	593.831	276	52.0273
AT1G21100.1	1545	1358.83	48.7033	4.01216
AT1G73150.1	2150	1963.83	38	2.16603
AT1G73150.2	1956	1769.83	0	0
AT3G51750.3	654	467.831	0	0
AT3G51750.1	563	376.912	140.048	41.5932
AT3G51750.2	560	373.912	7.95207	2.38065
AT1G07010.1	1622	1435.83	149.991	11.6936
AT1G07010.2	1556	1369.83	3.00881	0.245874
AT1G07010.3	1542	1355.83	2.5478e-05	2.10351e-06
AT1G32080.1	2009	1822.83	230	14.1243
AT1G16710.5	6346	6159.83	0	0
AT1G16710.7	5822	5635.83	155.246	3.08352
AT1G16710.1	6018	5831.83	29.7542	0.571122
AT1G16710.4	6502	6315.83	0	0
AT1G16710.8	6455	6268.83	0	0
AT1G16710.10	6023	5836.83	0	0
AT1G16710.6	6107	5920.83	2.20437e-06	4.16761e-08
AT1G16710.3	6619	6432.83	0	0
AT1G16710.9	6549	6362.83	0	0
AT1G16710.2	5783	5596.83	0	0
AT1G07590.1	2407	2220.83	7614.32	383.796
AT5G49170.1	1172	985.831	24	2.72517
AT2G40240.1	1614	1427.83	11	0.862385
AT4G30380.2	537	350.985	0	0
AT4G30380.1	486	300.371	0	0
AT2G20619.1	201	48.0524	0	0
AT3G05830.2	1420	1233.83	3.6365	0.329923
AT3G05830.1	1358	1171.83	71.5751	6.83726
AT3G05830.3	1524	1337.83	2.7884	0.233313
AT5G11430.6	3634	3447.83	0	0
AT5G11430.2	2601	2414.83	22.9666	1.06462
AT5G11430.4	2791	2604.83	0	0
AT5G11430.3	3322	3135.83	0	0
AT5G11430.5	2373	2186.83	0	0
AT5G11430.1	3147	2960.83	147.033	5.55888
AT1G20530.1	2269	2082.83	13	0.698674
AT4G23170.1	1824	1637.83	64	4.37417
AT1G44780.2	1644	1457.83	19.2227	1.47602
AT1G44780.1	1647	1460.83	37.7773	2.89478
AT1G60880.1	606	419.831	0	0
AT1G06160.1	1086	899.831	14	1.74161
AT3G07260.1	1204	1017.83	1.12045	0.123225
AT1G21090.1	1404	1217.83	93	8.54832
AT1G21090.2	1416	1229.83	0	0
AT1G76730.1	1500	1313.83	477	40.641
AT1G03970.1	1190	1003.83	259	28.8818
AT5G19160.1	2182	1995.83	6	0.336521
AT5G19160.2	2242	2055.83	0	0
AT3G49744.1	174	32.1567	0	0
AT5G28820.1	519	333.053	0	0
AT4G12530.1	730	543.831	0	0
AT4G20050.1	1924	1737.83	0	0
AT4G20050.5	1742	1555.83	0	0
AT4G20050.3	1800	1613.83	0	0
AT4G20050.2	1873	1686.83	0	0
AT4G20050.6	1732	1545.83	4.21859e-08	3.05485e-09
AT4G20050.7	1707	1520.83	2	0.147209
AT4G20050.4	1981	1794.83	0	0
AT5G53810.1	1574	1387.83	7	0.564607
AT2G28690.1	1117	930.831	3	0.360774
AT5G01530.1	1396	1209.83	36575	3384.11
AT3G62800.3	1283	1096.83	4.42942	0.452056
AT3G62800.1	1368	1181.83	116.961	11.0782
AT3G62800.2	1297	1110.83	72.6095	7.31696
ATCG00900.1	468	282.459	1008	399.476
AT3G11385.1	2459	2272.83	1	0.0492513
AT5G07010.1	1779	1592.83	468	32.8898
AT3G63040.1	654	467.831	0	0
AT2G26570.2	2921	2734.83	154.104	6.30768
AT2G26570.1	2941	2754.83	364.896	14.8272
AT3G05560.2	756	569.831	0	0
AT3G05560.3	841	654.831	4.84552	0.828317
AT3G05560.1	840	653.831	575.154	98.47
AT5G12080.3	2694	2507.83	91	4.06189
AT5G12080.2	2805	2618.83	0	0
AT5G12080.1	2754	2567.83	0	0
AT1G50870.1	1191	1004.83	0	0
AT2G20610.2	1748	1561.83	52.1034	3.73437
AT2G20610.1	1794	1607.83	412.897	28.7466
AT5G02940.2	2792	2605.83	54.7315	2.35113
AT5G02940.1	2920	2733.83	587.269	24.0464
AT1G68430.1	945	758.831	10	1.47516
AT1G66550.2	856	669.831	0	0
AT1G66550.1	765	578.831	0	0
AT1G09380.1	1641	1454.83	11	0.84638
AT3G48840.1	757	570.831	0	0
AT3G48840.2	667	480.831	0	0
AT5G61800.1	1629	1442.83	14	1.08617
AT5G01445.1	589	402.872	12	3.33426
AT4G35500.1	1975	1788.83	0	0
AT4G35500.2	1638	1451.83	49	3.77803
AT1G80310.1	1937	1750.83	526	33.63
AT2G39400.2	1307	1120.83	54.2991	5.42297
AT2G39400.1	1394	1207.83	349.701	32.4098
AT4G04990.1	1217	1030.83	15	1.62888
AT3G60530.1	1465	1278.83	1103	96.5489
AT2G46180.1	2540	2353.83	220	10.4624
AT2G22270.1	1398	1211.83	16.2299	1.4992
AT2G22270.2	1174	987.831	83.7701	9.49274
AT2G43660.1	471	285.459	0	0
AT2G43660.2	597	410.831	1	0.272472
AT1G03910.2	2466	2279.83	42.7439	2.09873
AT1G03910.1	2565	2378.83	312.256	14.6937
AT1G77590.1	2692	2505.83	358	15.9925
AT1G77590.2	2669	2482.83	6.67666e-05	3.01021e-06
AT1G79020.1	2134	1947.83	141	8.10313
AT5G24420.1	1321	1134.83	33	3.25513
AT5G39490.1	1701	1514.83	0	0
AT3G26922.2	1894	1707.83	3.55183	0.232805
AT3G26922.1	1793	1606.83	0	0
AT3G26922.4	1661	1474.83	0	0
AT3G26922.5	1642	1455.83	25.4482	1.95673
AT3G26922.3	1711	1524.83	0	0
AT3G50450.1	926	739.831	2	0.302609
AT3G17160.1	882	695.831	303	48.7443
AT1G34315.1	819	632.831	16	2.8302
